parish,state,project,name,contrac_status,field_status,start_date,end_date,total_mi,mi_remain_plan,mi_remain_contrac_adj,passings,passings_remain_plan,passings_remain_contrac_adj,nepa_overlap_mi,nepa_approved_mi,nepa_blocked_mi,nepa_status,nepa_passing_at_risk,bead_passing,bead_complete_contrac_adj,bead_remain_contrac_adj,bead_rc_points_total,bead_rc_RC1_2,bead_rc_RC3,bead_rc_RC4,bead_rc_RC5_BDC,bead_rc_RC5_OTHER,bead_rc_Jason_Cut,labor_remain_usd,material_remain_usd,unsplit_remain_usd,mainline_remain_usd_total,labor_remain_source,reason_codes,ocius_project_id
Rapides Parish,LA,CA-9365,Rapides Parish-NONE-CA-9365-Construction Area - Rapides North RDOF,(no ROQ job),in_construction,2026-02-01,2026-06-30,51.48,50.87,50.87,828.0,828.0,828.0,45.73,0.0,45.73,blocked,828.0,88.0,0.0,88.0,8,0,6,0,0,0,2,489066.0,350759.04,325806.78,1165631.82,matched_williams825_pin,wave1_pinned_authority,423
East Feliciana Parish,LA,CA-8447,East Feliciana Parish-NONE-CA-8447-Construction Area - North Clinton,(no ROQ job),in_construction,2028-01-01,2028-06-30,54.35,53.69,53.69,807.0,807.0,807.0,1.24,0.0,1.24,blocked,807.0,11.0,0.0,11.0,0,0,0,0,0,0,0,1398875.74,661733.49,587821.66,2648430.89,matched_williams825_pin,"wave1_pinned_authority, operator_restored_williams_v825, legal_hold_desoto_ef, legal_hold_orig_start:2027-03-01, legal_hold_restart_2028_01",400
Vernon Parish,LA,CDA-26552,Vernon Parish-NONE-CDA-26552-Stat Area - 2027 - CDA-26552,(no ROQ job),not_started,2026-08-01,2026-10-31,13.45,13.45,13.45,777.0,776.0,776.0,14.33,0.0,14.33,blocked,776.0,190.0,0.2,189.8,6,0,4,0,0,2,0,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_never_active",
De Soto Parish,LA,CA-8937,De Soto Parish-NONE-CA-8937-Construction Area - De Soto Extended 2,(no ROQ job),in_construction,2028-01-01,2028-05-31,28.3,28.3,28.3,773.0,771.0,771.0,9.09,0.0,9.09,blocked,771.0,96.0,0.2,95.8,14,0,6,0,0,0,8,728514.1,344621.16,179105.98,1252241.24,matched_williams825_pin,"wave1_pinned_authority, operator_restored_williams_v825, legal_hold_desoto_ef, legal_hold_orig_start:2027-07-01, legal_hold_restart_2028_01",415
Vermilion Parish,LA,DA-10516,Vermilion Parish-NONE-DA-10516-APPROVEDDESIGNAREAS - Vermillion Parish,(no ROQ job),not_started,2026-11-01,2027-03-31,7.11,7.11,7.11,757.0,757.0,757.0,0.31,0.0,0.31,blocked,757.0,0.0,0.0,0.0,1,0,1,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_mk48_resize, parent_resized_after_child, wave1_habit_resize, wave1_2026_q4_retime, parent_polygon_volume_review",
De Soto Parish,LA,CA-8919,De Soto Parish-NONE-CA-8919-Construction Area - Mansfield West,(no ROQ job),in_construction,2028-01-01,2028-06-30,48.25,48.25,48.25,755.0,755.0,755.0,29.67,0.0,29.67,blocked,755.0,150.0,0.0,150.0,8,0,8,0,0,0,0,1241938.2,587494.71,521874.93,2351307.84,matched_williams825_pin,"wave1_pinned_authority, operator_restored_williams_v825, legal_hold_desoto_ef, legal_hold_orig_start:2027-05-01, legal_hold_restart_2028_01",374
East Feliciana Parish,LA,DA-6768,East Feliciana Parish-NONE-DA-6768-APPROVEDDESIGNAREAS - Clinton,(no ROQ job),not_started,2028-01-01,2028-09-30,24.6,24.6,24.6,729.0,729.0,729.0,18.61,0.0,18.61,blocked,729.0,0.0,0.0,0.0,3,0,3,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, legal_hold_desoto_ef, legal_hold_orig_start:2026-09-01, legal_hold_restart_2028_01",
Washington Parish,LA,CA-4485,Washington Parish-NONE-CA-4485-Construction Area - Bogalusa - Ring Completion,(no ROQ job),complete,2024-09-01,2024-09-30,9.49,9.49,9.49,713.0,713.0,713.0,3.51,3.51,0.0,clear,0.0,89.0,0.0,89.0,3,0,3,0,0,0,0,229165.08,154172.37,77861.45,461198.89,matched_williams825_pin,wave1_pinned_authority,31
Acadia Parish,LA,DA-10517,Acadia Parish-NONE-DA-10517-APPROVEDDESIGNAREAS - Acadia Parish,(no ROQ job),not_started,2026-08-01,2027-02-28,35.53,35.53,35.53,688.0,688.0,688.0,11.65,9.25,2.4,partial,688.0,33.0,0.0,33.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_resized_after_child, parent_never_active",
East Feliciana Parish,LA,CA-8455,East Feliciana Parish-NONE-CA-8455-Construction Area - Wilson North,(no ROQ job),in_construction,2028-01-01,2028-08-31,30.01,30.01,30.01,613.0,613.0,613.0,3.58,0.0,3.58,blocked,613.0,18.0,0.0,18.0,3,0,3,0,0,0,0,772406.51,365384.32,324572.99,1462363.82,matched_williams825_pin,"wave1_pinned_authority, operator_restored_williams_v825, legal_hold_desoto_ef, legal_hold_orig_start:2027-03-01, legal_hold_restart_2028_01",399
Natchitoches Parish,LA,CA-7591,Natchitoches Parish-NONE-CA-7591-Construction Area - Natchez,In Construction,in_construction,2025-06-01,2025-10-31,92.7,39.48,33.28,1498.0,873.0,499.8,22.6,0.0,22.6,blocked,499.8,447.0,297.9,149.1,197,0,16,0,181,0,0,985505.87,384543.97,1002634.76,2372684.6,matched_williams825_pin,wave1_pinned_authority,276
Pearl River County,MS,CDA-32569,Pearl River County-NONE-CDA-32569-Stat Area - 2027 - CDA-32569,(no ROQ job),not_started,2026-10-01,2027-05-31,33.98,33.98,33.98,468.0,468.0,468.0,0.0,0.0,0.0,no_data,468.0,239.0,0.0,239.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Bienville Parish,LA,CA-8941,Bienville Parish-NONE-CA-8941-Construction Area - Bienville RDOF,Loaded,in_construction,2026-02-01,2026-05-31,42.67,31.81,31.81,595.0,459.0,459.0,4.23,0.0,4.23,blocked,459.0,129.0,29.5,99.5,1,0,1,0,0,0,0,94802.13,71270.68,270055.77,436128.57,matched_williams825_pin,wave1_pinned_authority,392
Concordia Parish,LA,CDA-26970,Concordia Parish-NONE-CDA-26970-Stat Area - 2026 - CDA-26970,(no ROQ job),not_started,2026-11-01,2027-06-30,19.8,19.8,19.8,432.0,432.0,432.0,19.1,19.1,0.0,clear,0.0,286.0,0.0,286.0,52,0,14,0,0,6,32,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Lamar County,MS,CA-8943,Lamar County-NONE-CA-8943-Construction Area - Lamar County RDOF,Loaded,in_construction,2026-04-01,2026-06-30,27.36,27.36,27.36,416.0,416.0,416.0,0.0,0.0,0.0,no_data,416.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,31192.26,173146.31,204338.57,matched_williams825_pin,wave1_pinned_authority,404
East Feliciana Parish,LA,CA-8448,East Feliciana Parish-NONE-CA-8448-Construction Area - East F State Roads and Towns,In Construction,in_construction,2028-01-01,2029-09-30,122.42,121.1,12.85,1718.0,1718.0,414.8,13.0,0.0,13.0,blocked,414.8,119.0,90.3,28.7,6,0,6,0,0,0,0,802770.36,297567.31,442012.6,1542350.27,matched_williams825_pin,"wave1_pinned_authority, legal_hold_desoto_ef, legal_hold_orig_start:2025-08-01, legal_hold_restart_2028_01",318
Calcasieu Parish,LA,CA-9797,Calcasieu Parish-NONE-CA-9797-Construction Area - FW - EACAM Build 6,(no ROQ job),,2027-04-01,2027-05-31,36.48,36.48,36.48,414.0,414.0,414.0,0.0,0.0,0.0,no_data,414.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"newborn_hi_only, newborn_status_strong",
Faulkner County,AR,CA-8506,Faulkner County-NONE-CA-8506-Construction Area - Mayflower East,In Construction,in_construction,2025-11-01,2026-05-31,24.89,24.89,24.89,413.0,413.0,413.0,0.0,0.0,0.0,no_data,413.0,0.0,0.0,0.0,0,0,0,0,0,0,0,633643.86,301071.24,269243.66,1203958.75,matched_williams825_pin,wave1_pinned_authority,358
Grant Parish,LA,CDA-28578,Grant Parish-NONE-CDA-28578-Stat Area - 2027 - CDA-28578,(no ROQ job),not_started,2026-08-01,2026-10-31,1.44,1.44,1.44,403.0,403.0,403.0,36.21,0.0,36.21,blocked,403.0,313.0,0.0,313.0,35,0,25,0,0,2,8,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_polygon_volume_review, parent_never_active",
De Soto Parish,LA,CDA-29000,De Soto Parish-NONE-CDA-29000-Stat Area - 2026 - CDA-29000,(no ROQ job),not_started,2028-01-01,2028-02-29,1.8,1.8,1.8,393.0,393.0,393.0,0.0,0.0,0.0,no_data,393.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, legal_hold_desoto_ef, legal_hold_orig_start:2026-09-01, legal_hold_restart_2028_01",
Calcasieu Parish,LA,CA-8433,Calcasieu Parish-NONE-CA-8433-Construction Area - Dequincy Northeast,(no ROQ job),in_construction,2026-08-01,2026-09-30,7.9,7.9,7.9,350.0,350.0,350.0,4.1,4.1,0.0,clear,0.0,37.0,0.0,37.0,3,0,2,0,0,1,0,203371.8,112006.02,88905.64,404283.46,matched_williams825_pin,"wave1_pinned_authority, wave1_ic_remain_from_now",238
Avoyelles Parish,LA,CDA-28975,Avoyelles Parish-NONE-CDA-28975-Stat Area - 2027 - CDA-28975,(no ROQ job),not_started,2026-08-01,2026-10-31,14.93,14.93,14.93,349.0,349.0,349.0,9.4,0.0,9.4,blocked,349.0,129.0,0.0,129.0,6,0,5,0,0,0,1,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_never_active",
Natchitoches Parish,LA,CA-8947,Natchitoches Parish-NONE-CA-8947-Construction Area - St Maurice,Loaded,in_construction,2026-01-01,2026-03-31,46.27,21.22,21.22,513.0,344.0,344.0,21.69,0.0,21.69,blocked,344.0,177.0,58.3,118.7,38,0,12,0,0,26,0,307497.95,173296.11,292807.54,773601.6,matched_williams825_pin,wave1_pinned_authority,389
Webster Parish,LA,CDA-26951,Webster Parish-NONE-CDA-26951-Stat Area - 2026 - CDA-26951,(no ROQ job),not_started,2027-07-01,2027-11-30,16.43,16.43,16.43,319.0,319.0,319.0,8.72,8.72,0.0,clear,0.0,79.0,0.0,79.0,5,0,5,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Rapides Parish,LA,CA-8931,Rapides Parish-NONE-CA-8931-Construction Area - Pine Coupee,Loaded,in_construction,2026-02-01,2026-06-30,26.54,26.54,26.54,300.0,300.0,300.0,9.83,0.0,9.83,blocked,300.0,7.0,0.0,7.0,0,0,0,0,0,0,0,0.0,28304.31,167945.47,196249.77,matched_williams825_pin,wave1_pinned_authority,403
Vernon Parish,LA,CDA-26550,Vernon Parish-NONE-CDA-26550-Stat Area - 2027 - CDA-26550,(no ROQ job),not_started,2026-11-01,2027-04-30,9.67,9.67,9.67,299.0,299.0,299.0,9.32,0.0,9.32,blocked,299.0,84.0,0.0,84.0,9,0,8,0,0,1,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Lafayette Parish,LA,DA-10518,Lafayette Parish-NONE-DA-10518-APPROVEDDESIGNAREAS - Lafayette Parish,(no ROQ job),not_started,2027-01-01,2027-01-31,1.02,1.02,1.02,264.0,264.0,264.0,3.29,0.0,3.29,blocked,264.0,41.0,0.0,41.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_mk48_resize, parent_resized_after_child, wave1_habit_resize, wave1_2026_q4_retime",
Vernon Parish,LA,CDA-26551,Vernon Parish-NONE-CDA-26551-Stat Area - 2027 - CDA-26551,(no ROQ job),not_started,2026-10-01,2026-11-30,3.98,3.98,3.98,264.0,264.0,264.0,9.19,0.0,9.19,blocked,264.0,109.0,0.0,109.0,10,0,4,0,0,6,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Wilkinson County,MS,CA-8464,Wilkinson County-NONE-CA-8464-Construction Area - Woodville,In Construction,in_construction,2025-07-01,2025-09-30,11.62,3.86,3.53,1249.0,281.0,259.9,0.0,0.0,0.0,no_data,259.9,208.0,164.7,43.3,0,0,0,0,0,0,0,0.0,19246.73,231878.59,251125.32,matched_williams825_pin,wave1_pinned_authority,342
St. Landry Parish,LA,CA-8507,St. Landry Parish-NONE-CA-8507-Construction Area - St Landry Remaining,In Construction,in_construction,2026-04-01,2026-07-31,69.28,69.28,12.07,970.0,970.0,256.0,0.0,0.0,0.0,no_data,256.0,1.0,0.7,0.3,0,0,0,0,0,0,0,0.0,88934.71,438419.03,527353.74,matched_williams825_pin,wave1_pinned_authority,409
Iberia Parish,LA,DA-10519,Iberia Parish-NONE-DA-10519-APPROVEDDESIGNAREAS - Iberia Parish,(no ROQ job),not_started,2027-03-01,2027-03-31,2.65,2.65,2.65,244.0,244.0,244.0,0.0,0.0,0.0,no_data,244.0,28.0,0.0,28.0,2,0,2,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime, parent_polygon_volume_review",
Rapides Parish,LA,DA-6751,Rapides Parish-NONE-DA-6751-APPROVEDDESIGNAREAS - Mcnary/Forest HIll/Glenmora,(no ROQ job),not_started,2027-03-01,2027-03-31,1.62,1.62,1.62,244.0,244.0,244.0,2.32,2.32,0.0,clear,0.0,47.0,0.0,47.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
West Feliciana Parish,LA,CA-4292,West Feliciana Parish-NONE-CA-4292-Construction Area - Weyanoke,In Construction,in_construction,2024-12-01,2025-03-31,93.09,67.87,23.37,1279.0,743.0,223.9,11.7,0.0,11.7,blocked,223.9,63.0,52.0,11.0,40,0,5,1,30,0,4,316403.52,286095.73,785044.52,1387543.77,matched_williams825_pin,wave1_pinned_authority,126
De Soto Parish,LA,CA-8483,De Soto Parish-NONE-CA-8483-Construction Area - Grand Cane South,In Construction,in_construction,2028-01-01,2029-07-31,49.09,49.09,14.29,692.0,692.0,201.5,10.22,0.0,10.22,blocked,201.5,110.0,78.0,32.0,5,0,2,0,0,3,0,135685.29,68475.74,310650.59,514811.62,matched_williams825_pin,"wave1_pinned_authority, legal_hold_desoto_ef, legal_hold_orig_start:2025-08-01, legal_hold_restart_2028_01",323
Jefferson Davis Parish,LA,DA-10520,Jefferson Davis Parish-NONE-DA-10520-APPROVEDDESIGNAREAS - Jefferson Davis BEAD,(no ROQ job),not_started,2027-05-01,2027-05-31,0.5,0.5,0.5,188.0,188.0,188.0,6.71,0.37,6.34,partial,188.0,27.0,0.0,27.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"no_hi_identity, wave1_pinned_authority, wave1_bucket_b_pack_2027, wave1_2027_spread, parent_resized_after_child, parent_polygon_volume_review",
West Feliciana Parish,LA,CA-4348,West Feliciana Parish-NONE-CA-4348-Construction Area - Wakefield,In Construction,in_construction,2024-12-01,2025-03-31,68.37,46.8,6.33,1290.0,774.0,182.8,6.5,0.0,6.5,blocked,182.8,177.0,151.9,25.1,145,0,11,0,118,16,0,0.0,58760.35,576544.46,635304.82,matched_williams825_pin,wave1_pinned_authority,125
De Soto Parish,LA,CDA-28999,De Soto Parish-NONE-CDA-28999-Stat Area - 2026 - CDA-28999,(no ROQ job),not_started,2028-01-01,2028-01-31,1.06,1.06,1.06,162.0,162.0,162.0,0.0,0.0,0.0,no_data,162.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, legal_hold_desoto_ef, legal_hold_orig_start:2026-09-01, legal_hold_restart_2028_01",
De Soto Parish,LA,CDA-29012,De Soto Parish-NONE-CDA-29012-Stat Area - 2027 - CDA-29012,(no ROQ job),not_started,,,0.0,0.0,0.0,158.0,158.0,158.0,0.0,0.0,0.0,no_data,158.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, legal_hold_desoto_ef, legal_hold_orig_start:2026-11-01, legal_hold_restart_2028_01, exhausted_parent_gis_review",
De Soto Parish,LA,DA-6765,De Soto Parish-NONE-DA-6765-APPROVEDDESIGNAREAS - Frierson,(no ROQ job),not_started,,,0.0,0.0,0.0,152.0,152.0,152.0,0.12,0.0,0.12,blocked,152.0,18.0,0.0,18.0,6,0,5,0,0,1,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, legal_hold_desoto_ef, legal_hold_orig_start:2026-09-01, legal_hold_restart_2028_01, exhausted_parent_gis_review",
Tensas Parish,LA,CA-8963,Tensas Parish-NONE-CA-8963-Construction Area - Tensas Connector,Loaded,in_construction,2026-04-01,2026-05-31,5.59,5.59,5.59,138.0,138.0,138.0,4.19,4.19,0.0,clear,0.0,6.0,0.0,6.0,0,0,0,0,0,0,0,2159.34,6856.24,35378.33,44393.92,matched_williams825_pin,wave1_pinned_authority,420
Vernon Parish,LA,CDA-26547,Vernon Parish-NONE-CDA-26547-Stat Area - 2027 - CDA-26547,(no ROQ job),not_started,2027-02-01,2027-04-30,6.48,6.48,6.48,133.0,133.0,133.0,6.32,0.0,6.32,blocked,133.0,28.0,0.0,28.0,3,0,3,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
West Feliciana Parish,LA,DA-2889,West Feliciana Parish-NONE-DA-2889-APPROVEDDESIGNAREAS - West Feliciana RDOF Section 1,(no ROQ job),not_started,2027-08-01,2028-02-29,21.37,21.37,21.37,128.0,128.0,128.0,0.0,0.0,0.0,no_data,128.0,107.0,0.0,107.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
De Soto Parish,LA,CDA-29001,De Soto Parish-NONE-CDA-29001-Stat Area - 2026 - CDA-29001,(no ROQ job),not_started,2028-01-01,2028-03-31,5.63,5.63,5.63,117.0,117.0,117.0,4.96,0.0,4.96,blocked,117.0,57.0,0.0,57.0,1,0,1,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, legal_hold_desoto_ef, legal_hold_orig_start:2026-09-01, legal_hold_restart_2028_01",
Jefferson Davis County,MS,DA-10532,Jefferson Davis County-NONE-DA-10532-APPROVEDDESIGNAREAS - MS BEAD Monticello East,(no ROQ job),not_started,2026-10-01,2026-10-31,0.41,0.41,0.41,109.0,109.0,109.0,0.0,0.0,0.0,no_data,109.0,3.0,0.0,3.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Acadia Parish,LA,DA-10977,Acadia Parish-NONE-DA-10977-APPROVEDDESIGNAREAS - Acadia-1,(no ROQ job),,2026-10-01,2026-10-31,1.1,1.1,1.1,105.0,105.0,105.0,12.04,8.75,3.29,partial,105.0,12.0,0.0,12.0,1,0,1,0,0,0,0,,,,,no_ocius_job_match,"newborn_hi_only, newborn_status_borderline, wave1_habit_resize, wave1_2026_q4_retime, parent_polygon_volume_review",
Natchitoches Parish,LA,DA-6873,Natchitoches Parish-NONE-DA-6873-APPROVEDDESIGNAREAS - North Sibley Lake,(no ROQ job),not_started,,,0.0,0.0,0.0,101.0,101.0,101.0,1.49,0.0,1.49,blocked,101.0,19.0,0.0,19.0,3,0,2,0,0,1,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, exhausted_parent_gis_review",
Jefferson Davis Parish,LA,CA-8475,Jefferson Davis Parish-NONE-CA-8475-Construction Area - Jefferson Davis Norwest 1 RDOF,In Construction,in_construction,2025-08-01,2026-02-28,77.07,75.98,14.52,906.0,906.0,99.8,12.32,0.0,12.32,blocked,99.8,219.0,194.9,24.1,21,0,18,0,0,3,0,140667.83,92229.03,487730.4,720627.26,matched_williams825_pin,wave1_pinned_authority,326
Jefferson Davis Parish,LA,CDA-26140,Jefferson Davis Parish-NONE-CDA-26140-Stat Area - 2026 - CDA-26140,(no ROQ job),not_started,2027-01-01,2027-08-31,0.6,0.6,0.6,96.0,96.0,96.0,20.73,5.49,15.24,partial,96.0,12.0,0.0,12.0,6,0,6,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_bucket_b_pack_2027, wave1_2027_spread, parent_polygon_volume_review",
Vermilion Parish,LA,DA-10976,Vermilion Parish-NONE-DA-10976-APPROVEDDESIGNAREAS - Vermilion-1,(no ROQ job),,,,0.0,0.0,0.0,96.0,96.0,96.0,0.51,0.51,0.0,clear,0.0,16.0,0.0,16.0,1,0,1,0,0,0,0,,,,,no_ocius_job_match,"newborn_hi_only, newborn_status_strong, exhausted_parent_gis_review",
St. Helena Parish,LA,DA-6831,St. Helena Parish-NONE-DA-6831-APPROVEDDESIGNAREAS - St. Helena West,(no ROQ job),not_started,,,0.0,0.0,0.0,89.0,89.0,89.0,0.0,0.0,0.0,no_data,89.0,2.0,0.0,2.0,1,0,1,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, exhausted_parent_gis_review",
St. Landry Parish,LA,CA-8920,St. Landry Parish-NONE-CA-8920-Construction Area - St Landry State Rds,In Construction,in_construction,2026-02-01,2026-05-31,65.41,65.41,21.7,475.0,475.0,79.1,0.0,0.0,0.0,no_data,79.1,0.0,0.0,0.0,0,0,0,0,0,0,0,257747.13,183260.22,413939.22,854946.57,matched_williams825_pin,wave1_pinned_authority,375
Sabine Parish,LA,CA-9384,Sabine Parish-NONE-CA-9384-Construction Area - Toledo Bend,(no ROQ job),in_construction,2026-09-15,2026-10-14,5.28,3.54,3.54,74.0,74.0,74.0,1.09,0.0,1.09,blocked,74.0,2.0,0.0,2.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, operator_restored_williams_v825",
Pearl River County,MS,CDA-32568,Pearl River County-NONE-CDA-32568-Stat Area - 2027 - CDA-32568,(no ROQ job),not_started,2026-11-01,2027-01-31,2.59,2.59,2.59,73.0,73.0,73.0,0.0,0.0,0.0,no_data,73.0,67.0,0.0,67.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
De Soto Parish,LA,CDA-29002,De Soto Parish-NONE-CDA-29002-Stat Area - 2026 - CDA-29002,(no ROQ job),not_started,2028-01-01,2028-01-31,0.81,0.81,0.81,70.0,70.0,70.0,0.0,0.0,0.0,no_data,70.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, legal_hold_desoto_ef, legal_hold_orig_start:2026-09-01, legal_hold_restart_2028_01",
Red River Parish,LA,DA-8510,Red River Parish-NONE-DA-8510-APPROVEDDESIGNAREAS - Martin West,(no ROQ job),not_started,2025-09-01,2025-10-31,5.15,5.15,5.15,70.0,70.0,70.0,0.0,0.0,0.0,no_data,70.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, parent_never_active",
St. Landry Parish,LA,CDA-28964,St. Landry Parish-NONE-CDA-28964-Stat Area - 2026 - CDA-28964,(no ROQ job),not_started,,,0.0,0.0,0.0,69.0,69.0,69.0,0.51,0.0,0.51,blocked,69.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_bucket_b_pack_2027, wave1_2027_spread, exhausted_parent_gis_review",
Covington County,MS,CDA-32563,Covington County-NONE-CDA-32563-Stat Area - 2027 - CDA-32563,(no ROQ job),not_started,2026-11-01,2027-03-31,5.76,5.76,5.76,68.0,68.0,68.0,0.0,0.0,0.0,no_data,68.0,17.0,0.0,17.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Concordia Parish,LA,CDA-26969,Concordia Parish-NONE-CDA-26969-Stat Area - 2026 - CDA-26969,(no ROQ job),not_started,2026-10-01,2026-10-31,2.77,2.77,2.77,66.0,66.0,66.0,2.81,2.81,0.0,clear,0.0,53.0,0.0,53.0,4,0,4,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
De Soto Parish,LA,CA-8484,De Soto Parish-NONE-CA-8484-Construction Area - Longstreet,In Construction,in_construction,2028-01-01,2029-07-31,97.85,97.85,9.41,741.0,741.0,64.3,3.5,0.0,3.5,blocked,64.3,61.0,55.7,5.3,6,0,4,0,0,2,0,0.0,54539.4,619209.24,673748.65,matched_williams825_pin,"wave1_pinned_authority, legal_hold_desoto_ef, legal_hold_orig_start:2025-08-01, legal_hold_restart_2028_01",324
Winn Parish,LA,CA-8501,Winn Parish-NONE-CA-8501-Construction Area - Gansville Service Area,In Construction,in_construction,2025-09-01,2025-12-31,64.05,5.46,3.86,737.0,189.0,64.1,1.18,1.18,0.0,clear,0.0,145.0,132.4,12.6,13,0,13,0,0,0,0,31869.45,63107.1,405291.95,500268.5,matched_williams825_pin,wave1_pinned_authority,345
Natchitoches Parish,LA,CA-8924,Natchitoches Parish-NONE-CA-8924-Construction Area - Winnfield to Fair View Alpha Transport,Loaded,in_construction,2025-11-01,2025-11-30,27.73,6.07,6.07,178.0,63.0,63.0,1.18,0.0,1.18,blocked,63.0,36.0,23.3,12.7,3,0,3,0,0,0,0,298704.99,160825.61,299911.89,759442.49,matched_williams825_pin,wave1_pinned_authority,380
Natchitoches Parish,LA,CA-8959,Natchitoches Parish-NONE-CA-8959-Construction Area - Pine Coupee - Natchitoches,Loaded,in_construction,2026-02-01,2026-03-31,13.51,11.52,11.52,58.0,58.0,58.0,4.35,0.0,4.35,blocked,58.0,4.0,0.0,4.0,0,0,0,0,0,0,0,0.0,12362.97,85499.67,97862.63,matched_williams825_pin,wave1_pinned_authority,402
Grant Parish,LA,CDA-27340,Grant Parish-NONE-CDA-27340-Stat Area - 2026 - CDA-27340,(no ROQ job),not_started,2027-01-01,2027-07-31,0.31,0.31,0.31,55.0,55.0,55.0,7.18,0.0,7.18,blocked,55.0,30.0,0.0,30.0,17,0,3,0,1,10,3,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_bucket_b_pack_2027, wave1_2027_spread, parent_polygon_volume_review",
St. Landry Parish,LA,DA-6738,St. Landry Parish-NONE-DA-6738-APPROVEDDESIGNAREAS - St. Landry Funded,(no ROQ job),not_started,,,0.0,0.0,0.0,49.0,49.0,49.0,3.77,0.0,3.77,blocked,49.0,1.0,0.0,1.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, exhausted_parent_gis_review",
De Soto Parish,LA,CDA-29003,De Soto Parish-NONE-CDA-29003-Stat Area - 2026 - CDA-29003,(no ROQ job),not_started,2028-01-01,2028-01-31,0.11,0.11,0.11,47.0,47.0,47.0,0.0,0.0,0.0,no_data,47.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, legal_hold_desoto_ef, legal_hold_orig_start:2026-09-01, legal_hold_restart_2028_01",
Rapides Parish,LA,CDA-27354,Rapides Parish-NONE-CDA-27354-Stat Area - 2026 - CDA-27354,(no ROQ job),not_started,,,0.0,0.0,0.0,45.0,45.0,45.0,16.43,15.75,0.68,partial,45.0,17.0,0.0,17.0,12,0,1,0,0,0,11,,,,,no_ocius_job_match,"wave1_retimed_pass1, exhausted_parent_gis_review",
